Id,DateandTime,BetaineTankLevel,SLS_Tank_A_Level,SLS_Tank_B_Level,SLE3S_Tank_A_Level,SLE3S_Tank_B_Level,SLE1S_Tank_Level,HAS_Tank_Level,HeatingBay_Tank_Level,HeatingBay_Tank_Temp,GelN_Tank_A_Level,GelN_Tank_B_Level,NACL6T_Level,NACL2T_Level,LPBase_Tank_Level,LPBase_SurgeTank_Level,HCBase_Tank_Level,THXN_Tank_Level,DM5500_Tank_Level,Dadmac_Tank_Level,Perfume1_Tank_Level,Perfume2_Tank_Level,Perfume3_Tank_Level,HotDI_Tank_Level,ColdDI_Tank_Level,1.25_Tank_Level,Benzyl_Tank_Level,Climbazole_Tank_Level,Kathon_Level,Pure_refresh,HCL
289305,2025-10-23 02:59:11.033,44.80869,46.8746,47.32619,51.94649,88.72503,0,72.91829,1768.288,49.75,4514.815,-14.25,2181.375,1697.257,5229.409,861,7008,-76.125,20.16875,NULL,615.93,539.4375,511.885,85.29692,85.97221,8.5,1265.446,1768.288,351.6699,949.2704,18.58625
289306,2025-10-23 03:04:10.997,44.77951,45.78297,47.40741,51.91394,88.72503,0,72.90208,1773.735,50.25625,4514.815,-13.5,2182.125,1697.257,5229.409,861,7008,-76.125,20.16875,NULL,615.825,539.4375,511.885,85.25846,87.36111,8.5,1264.959,1773.735,351.5078,948.7841,18.55383
289307,2025-10-23 03:09:10.563,44.81517,46.03963,47.32619,51.88139,88.70867,0,72.90532,1769.261,49.8625,4514.815,-14.25,2182.5,1697.132,5229.409,861,7008,-76.125,20.16875,NULL,616.035,539.4375,511.885,85.28923,88.61111,8.5,1264.473,1769.261,351.5078,948.2977,18.58625
289308,2025-10-23 03:14:10.507,44.79572,46.8746,47.39441,51.81629,88.67924,0,72.91505,1774.027,50.125,4514.815,-13.875,2307,1697.507,5230.376,861,7008,-76.125,20.16875,NULL,615.8775,539.3812,511.83,85.24308,89.72221,8.5,1265.057,1774.027,351.5078,948.2977,18.58625
289309,2025-10-23 03:19:10.420,44.82814,46.8746,47.40091,51.88139,88.58441,0,72.9345,1774.416,49.91875,4514.074,-14.25,2204.25,1697.257,5230.376,861,7008,-76.125,20.18125,NULL,615.93,539.4375,511.885,85.22769,84.16666,8.5,1265.154,1774.416,351.3456,947.8113,18.58625
289310,2025-10-23 03:24:10.393,44.8022,46.93632,47.39116,51.88139,88.50266,0,72.93774,1774.416,50.05,4515.185,-13.875,2188.875,1697.382,5230.376,861,7008,-76.125,20.1625,NULL,615.93,539.4375,511.83,85.23538,88.05556,8.5,1264.959,1774.416,351.3456,947.8113,18.58625
289311,2025-10-23 03:29:10.920,44.76654,46.8746,47.34568,51.84884,88.59422,0,72.9345,1776.751,49.99375,4514.815,-14.25,2183.625,1697.507,5230.376,861,7008,-76.125,20.175,NULL,615.8775,539.3812,511.885,85.25077,88.75,8.5,1264.716,1776.751,351.5078,948.7841,18.58625
289312,2025-10-23 03:34:10.727,44.80869,46.8746,47.40741,51.88139,88.71194,0,72.88262,1775.195,50,4514.444,-13.5,2182.875,1697.382,5230.376,861,7008,-76.125,20.16875,NULL,616.035,539.4938,511.885,85.28923,89.44444,8.466666,1265.057,1775.195,351.6699,949.2704,18.58625
289313,2025-10-23 03:39:11.143,44.81842,46.90708,46.87784,51.88139,88.74792,0,72.93126,1774.805,50,4514.074,-13.875,2182.875,1697.132,5230.376,861,7008,-76.125,20.16875,NULL,615.93,539.4375,511.83,85.31231,88.75,8.5,1264.668,1774.805,351.5078,948.7841,18.58625
289314,2025-10-23 03:44:10.663,44.81842,46.84211,46.69591,51.84884,88.71522,0,72.93774,1774.514,49.96875,4514.444,-13.5,2182.5,1697.257,5230.376,861,7008,-76.125,20.16875,NULL,615.8775,539.4938,511.885,85.21231,90.13889,8.5,1264.959,1774.514,351.6699,948.2977,18.58625
289315,2025-10-23 03:49:10.787,44.8476,46.90708,47.02079,51.88139,88.70867,0,72.89883,1774.611,49.99375,4514.815,-13.875,2182.875,1697.257,5229.409,861,7008,-76.125,20.16875,NULL,616.0875,539.4375,511.885,85.22769,90,8.5,1264.716,1774.611,351.3456,947.8113,18.58625
289316,2025-10-23 03:54:10.727,44.8249,46.8746,47.19948,51.17505,88.71194,0,72.92153,1774.514,50.00625,4514.815,-13.875,2182.5,1698.257,5229.409,861,7008,-76.125,20.16875,NULL,615.93,539.4375,511.885,85.19692,90.13889,8.5,1264.425,1774.514,351.3456,947.8113,18.58625
289317,2025-10-23 03:59:10.660,44.84436,46.90708,47.23197,51.33455,88.70867,0,73.00908,1774.805,50.00625,4515.556,-14.25,2182.125,1697.632,5229.409,861,7008,-76.125,20.16875,NULL,615.93,539.4375,511.885,85.20461,90.13889,8.5,1264.668,1774.805,351.8158,949.7082,18.58625
289318,2025-10-23 04:04:10.773,44.79896,46.8746,47.24496,51.33455,88.73483,0,72.93774,1774.708,50.00625,4514.815,-13.875,2182.875,1697.507,5229.409,861,7008,-76.125,20.175,NULL,616.0875,539.4375,511.83,85.25846,90.13889,8.5,1264.668,1774.708,351.5078,948.7841,18.58625
289319,2025-10-23 04:09:10.733,44.85084,46.8746,47.30019,51.88139,88.72503,0,72.96044,1774.805,50.00625,4515.185,-13.5,2182.875,1697.382,5229.409,861,7008,-76.125,20.175,NULL,615.9825,539.4375,511.885,85.19692,90.13889,8.5,1264.911,1774.805,351.3456,948.2977,18.58625
289320,2025-10-23 04:14:10.640,44.8703,45.84795,47.35867,51.88139,88.74138,0,72.93126,1775,49.99375,4514.815,-14.25,2182.125,1697.257,5229.409,861,7008,-76.125,20.16875,NULL,615.9825,539.4375,511.885,85.22769,90.13889,8.5,1264.571,1775,351.3456,947.8113,18.55383
289321,2025-10-23 04:19:10.850,44.87679,46.19883,47.31644,51.88139,88.73157,0,72.91829,1775.292,49.9875,4515.185,-13.5,2309.25,1697.257,5230.376,861,7008,-76.125,20.16875,NULL,615.93,539.4938,511.885,85.23538,90.13889,8.5,1264.668,1775.292,351.3456,947.8113,18.55383
289322,2025-10-23 04:24:10.777,44.81517,46.8746,47.38142,51.88139,88.75118,0,72.97665,1771.595,49.9625,4515.556,-13.5,2208,1697.257,5230.376,861,7008,-76.125,20.16875,NULL,616.0875,539.4375,511.885,85.21231,90,8.5,1264.327,1771.595,351.6699,948.7841,18.55383
289323,2025-10-23 04:29:10.720,44.80869,46.8746,47.35218,51.84884,88.74464,0,72.88911,1770.72,49.98125,4514.815,-13.875,2188.5,1697.382,5230.376,861,7008,-76.125,20.16875,NULL,616.0875,539.4938,511.885,85.21231,89.86111,8.5,1264.911,1770.72,351.6699,948.7841,18.55383
289324,2025-10-23 04:34:10.783,44.83787,46.8746,47.36842,51.84884,88.59422,0,72.88911,1775,50,4515.185,-13.875,2183.625,1697.382,5230.376,861,7006,-76.125,20.16875,NULL,616.14,539.4938,511.885,85.18307,89.86111,8.5,1264.911,1775,351.3456,947.3249,18.58625
289325,2025-10-23 04:39:10.703,44.78599,46.90708,47.39766,51.84884,88.56806,0,72.93774,1775.097,49.99375,4514.815,-14.25,2183.625,1697.507,5230.376,861,7006,-76.125,20.16875,NULL,616.035,539.4938,511.885,84.08308,89.86111,8.466666,1264.425,1775.097,351.6699,949.2704,18.58625
