Source_Description,Source_GCAS,Target_GCAS,Washout_Type
"H&S Daily Cool 
",21453170,21412529,X
"H&S Daily Smooth
",21470270,21412529,X
H&S Charcoal Deep Clean,21453169,21412529,WASH
Pantene Hair Science Lively Clean shampoo,20256318,21412529,X
Pantene Hair Science Luscious Thick shampoo,21309188,21412529,X
"Pantene Hair Science Deep Repair shampoo

Pantene Hair Science Hairfall Control shampoo",21302239,21412529,X
"Pantene Hair Science Healthy Shine shampoo

Pantene Hair Science Silky Smooth shampoo",21302240,21412529,X
PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth ,21309190,21412529,X
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control
PTN Pro-V 2 in1 Shampoo + Conditioner Deep repair",21309189,21412529,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh,90275009,21422081,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black,21055594,21422081,X
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
",21055593,21422081,X
H&S SS 2IN1 ,21432817,21422081,X
H&S SS ,21422079,21422081,X
H&S AHF  Maverick,21417344,21422081,WASH
H&S AHF 2IN1 ,21412529,21422081,WASH
H&S SB ,21422081,21422081,X
H&S SB 2IN1 Maverick,91043645,21422081,X
H&S CM Maverick,90947730,21422081,X
H&S CM 2IN1 ,21422088,21422081,X
H&S Active Protect 2in1 Maverick,91005113,21422081,X
H&S LF Maverick,90966400,21422081,X
H&S 7IN1 Anti Dandruff Shampoo ( Rolls Royce),21433480,21422081,X
H&S  Deep Cleanse anti dandruff Shampoo (Black Gold),21433484,21422081,X
H&S Neem Maverick,91305780,21422081,WASH
H&S Daily Clean,21470269,21422081,X
 H&S Neem small sachet ,21448509,21422081,WASH
"H&S Daily Cool 
",21453170,21422081,X
"H&S Daily Smooth
",21470270,21422081,X
H&S Charcoal Deep Clean,21453169,21422081,WASH
Pantene Hair Science Lively Clean shampoo,20256318,21422081,X
Pantene Hair Science Luscious Thick shampoo,21309188,21422081,X
"Pantene Hair Science Deep Repair shampoo

Pantene Hair Science Hairfall Control shampoo",21302239,21422081,X
"Pantene Hair Science Healthy Shine shampoo

Pantene Hair Science Silky Smooth shampoo",21302240,21422081,X
PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth ,21309190,21422081,X
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control
PTN Pro-V 2 in1 Shampoo + Conditioner Deep repair",21309189,21422081,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh,90275009,91043645,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black,21055594,91043645,X
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
",21055593,91043645,X
H&S SS 2IN1 ,21432817,91043645,X
H&S SS ,21422079,91043645,X
H&S AHF  Maverick,21417344,91043645,WASH
H&S AHF 2IN1 ,21412529,91043645,WASH
H&S SB ,21422081,91043645,X
H&S SB 2IN1 Maverick,91043645,91043645,X
H&S CM Maverick,90947730,91043645,X
H&S CM 2IN1 ,21422088,91043645,X
H&S Active Protect 2in1 Maverick,91005113,91043645,X
H&S LF Maverick,90966400,91043645,X
H&S 7IN1 Anti Dandruff Shampoo ( Rolls Royce),21433480,91043645,X
H&S  Deep Cleanse anti dandruff Shampoo (Black Gold),21433484,91043645,X
H&S Neem Maverick,91305780,91043645,WASH
H&S Daily Clean,21470269,91043645,X
 H&S Neem small sachet ,21448509,91043645,WASH
"H&S Daily Cool 
",21453170,91043645,X
"H&S Daily Smooth
",21470270,91043645,X
H&S Charcoal Deep Clean,21453169,91043645,WASH
Pantene Hair Science Lively Clean shampoo,20256318,91043645,X
Pantene Hair Science Luscious Thick shampoo,21309188,91043645,X
"Pantene Hair Science Deep Repair shampoo

Pantene Hair Science Hairfall Control shampoo",21302239,91043645,X
"Pantene Hair Science Healthy Shine shampoo

Pantene Hair Science Silky Smooth shampoo",21302240,91043645,X
PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth ,21309190,91043645,X
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control
PTN Pro-V 2 in1 Shampoo + Conditioner Deep repair",21309189,91043645,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh,90275009,90947730,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black,21055594,90947730,X
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
",21055593,90947730,X
H&S SS 2IN1 ,21432817,90947730,X
H&S SS ,21422079,90947730,X
H&S AHF  Maverick,21417344,90947730,WASH
H&S AHF 2IN1 ,21412529,90947730,WASH
H&S SB ,21422081,90947730,X
H&S SB 2IN1 Maverick,91043645,90947730,X
H&S CM Maverick,90947730,90947730,X
H&S CM 2IN1 ,21422088,90947730,X
H&S Active Protect 2in1 Maverick,91005113,90947730,X
H&S LF Maverick,90966400,90947730,X
H&S 7IN1 Anti Dandruff Shampoo ( Rolls Royce),21433480,90947730,X
H&S  Deep Cleanse anti dandruff Shampoo (Black Gold),21433484,90947730,WASH
H&S Neem Maverick,91305780,90947730,WASH
H&S Daily Clean,21470269,90947730,X
 H&S Neem small sachet ,21448509,90947730,WASH
"H&S Daily Cool 
",21453170,90947730,X
"H&S Daily Smooth
",21470270,90947730,X
H&S Charcoal Deep Clean,21453169,90947730,WASH
Pantene Hair Science Lively Clean shampoo,20256318,90947730,X
Pantene Hair Science Luscious Thick shampoo,21309188,90947730,X
"Pantene Hair Science Deep Repair shampoo

Pantene Hair Science Hairfall Control shampoo",21302239,90947730,X
